,pred_summary_score,my_pred_summary_score
2761,"(0.2406015037593985, 0.08333333333333333)","[0.5588235294117647, 0.18095238095238095, 0.20925110132158592]"
55,"(0.2598870056497175, 0.15340909090909088)","[0.7741935483870968, 0.17777777777777778, 0.21015761821366027]"
377,"(0.28668941979522183, 0.19931271477663232)","[0.7837837837837838, 0.2871287128712871, 0.3287981859410431]"
1197,"(0.4878048780487806, 0.345679012345679)","[0.782608695652174, 0.4090909090909091, 0.45226130653266333]"
3686,"(0.2598187311178248, 0.14589665653495443)","[0.8125, 0.21487603305785125, 0.25193798449612403]"
919,"(0.28482972136222906, 0.14330218068535827)","[0.7941176470588235, 0.24770642201834864, 0.28723404255319146]"
753,"(0.15075376884422112, 0.060504201680672276)","[0.8421052631578947, 0.09937888198757763, 0.12066365007541477]"
880,"(0.21929824561403508, 0.14977973568281938)","[0.9032258064516129, 0.16374269005847952, 0.19580419580419578]"
2863,"(0.1754385964912281, 0.055415617128463476)","[0.53125, 0.14655172413793102, 0.17137096774193547]"
240,"(0.12802275960170698, 0.05420827389443652)","[0.84375, 0.1125, 0.13608870967741937]"
1160,"(0.32195121951219513, 0.2167487684729064)","[0.6774193548387096, 0.30434782608695654, 0.34201954397394135]"
1139,"(0.36501901140684406, 0.2222222222222222)","[0.9375, 0.35714285714285715, 0.40760869565217395]"
1914,"(0.2996742671009772, 0.13114754098360656)","[0.6875, 0.18803418803418803, 0.22]"
3890,"(0.30952380952380953, 0.22754491017964076)","[0.9, 0.23478260869565218, 0.2755102040816327]"
3267,"(0.2576271186440678, 0.10921501706484642)","[0.68, 0.1650485436893204, 0.19450800915331812]"
2412,"(0.18083182640144663, 0.10526315789473685)","[0.9375, 0.15384615384615385, 0.18472906403940886]"
68,"(0.18013856812933027, 0.09280742459396753)","[0.9259259259259259, 0.16778523489932887, 0.20064205457463885]"
3688,"(0.27167630057803466, 0.15697674418604654)","[0.8780487804878049, 0.2748091603053435, 0.31858407079646023]"
617,"(0.048120300751879695, 0.010542168674698796)","[0.5405405405405406, 0.04158004158004158, 0.05099439061703213]"
